mean,estimation
9.746505264294084148e-01,1.000000000000000000e+00
9.999970166553583395e-01,1.000000000000000000e+00
1.572681855914872054e-04,0.000000000000000000e+00
1.777362672822255581e-14,0.000000000000000000e+00
9.999999999984203747e-01,1.000000000000000000e+00
9.999999999984203747e-01,1.000000000000000000e+00
6.384640495839765100e-04,0.000000000000000000e+00
7.328219778356343902e-08,0.000000000000000000e+00
9.999999999784967564e-01,1.000000000000000000e+00
9.945095923390893100e-01,1.000000000000000000e+00
2.027276897869485334e-23,0.000000000000000000e+00
2.027276897869485334e-23,0.000000000000000000e+00
9.999998290389833233e-01,1.000000000000000000e+00
8.355085696086680391e-01,1.000000000000000000e+00
9.999999999784967564e-01,1.000000000000000000e+00
5.283517596479748060e-09,0.000000000000000000e+00
9.999999999784967564e-01,1.000000000000000000e+00
2.269342613574107753e-12,0.000000000000000000e+00
7.219060655806800791e-14,0.000000000000000000e+00
2.027276897869485334e-23,0.000000000000000000e+00
3.821785285806019762e-04,0.000000000000000000e+00
7.219060655806800791e-14,0.000000000000000000e+00
7.328219778356343902e-08,0.000000000000000000e+00
7.328219778356343902e-08,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
9.999999999982678300e-01,1.000000000000000000e+00
2.235538953686269762e-18,0.000000000000000000e+00
9.999993291771260839e-01,1.000000000000000000e+00
2.833206269705419462e-03,0.000000000000000000e+00
2.057931420194624284e-17,0.000000000000000000e+00
2.027276897869485334e-23,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
9.999999862281644392e-01,1.000000000000000000e+00
9.984836412660881289e-01,1.000000000000000000e+00
9.999999999999775735e-01,1.000000000000000000e+00
2.269342613574107753e-12,0.000000000000000000e+00
9.999999999999997780e-01,1.000000000000000000e+00
9.999999999999997780e-01,1.000000000000000000e+00
1.978405726632569604e-08,0.000000000000000000e+00
6.645525779530536718e-13,0.000000000000000000e+00
9.999999999873329104e-01,1.000000000000000000e+00
7.328219778356343902e-08,0.000000000000000000e+00
9.886350028507481236e-01,1.000000000000000000e+00
9.999999999868879330e-01,1.000000000000000000e+00
7.219060655806800791e-14,0.000000000000000000e+00
6.546535397070327137e-19,0.000000000000000000e+00
8.355085696086680391e-01,1.000000000000000000e+00
6.546535397070327137e-19,0.000000000000000000e+00
9.999997808316660741e-01,1.000000000000000000e+00
7.219060655806800791e-14,0.000000000000000000e+00
9.999999999724333843e-01,1.000000000000000000e+00
9.999999999724333843e-01,1.000000000000000000e+00
7.219060655806800791e-14,0.000000000000000000e+00
6.546535397070327137e-19,0.000000000000000000e+00
9.999981808398076266e-01,1.000000000000000000e+00
6.546535397070327137e-19,0.000000000000000000e+00
9.999999999868879330e-01,1.000000000000000000e+00
9.999999999999997780e-01,1.000000000000000000e+00
9.768304434377360623e-01,1.000000000000000000e+00
2.235538953686269762e-18,0.000000000000000000e+00
1.577170027891925861e-16,0.000000000000000000e+00
1.798935248527731182e-25,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.006483452047252439e-02,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
6.384640495839765100e-04,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
9.999999999999997780e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
8.355085696086680391e-01,1.000000000000000000e+00
4.385478377297220289e-08,0.000000000000000000e+00
9.999999999951648677e-01,1.000000000000000000e+00
9.999999998480061381e-01,1.000000000000000000e+00
1.978405726632569604e-08,0.000000000000000000e+00
2.027276897869485334e-23,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
2.496947921178371659e-03,0.000000000000000000e+00
9.999970166553583395e-01,1.000000000000000000e+00
1.279671120783253428e-03,0.000000000000000000e+00
2.235538953686269762e-18,0.000000000000000000e+00
2.027276897869485334e-23,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
9.999999440633512426e-01,1.000000000000000000e+00
9.999999999984203747e-01,1.000000000000000000e+00
1.798935248527731182e-25,0.000000000000000000e+00
9.999999999724333843e-01,1.000000000000000000e+00
2.235538953686269762e-18,0.000000000000000000e+00
5.707249005903170775e-15,0.000000000000000000e+00
6.546535397070327137e-19,0.000000000000000000e+00
9.999999999724333843e-01,1.000000000000000000e+00
9.999981808398076266e-01,1.000000000000000000e+00
6.384640495839765100e-04,0.000000000000000000e+00
7.328219778356343902e-08,0.000000000000000000e+00
9.999999999999997780e-01,1.000000000000000000e+00
9.999999999984738874e-01,1.000000000000000000e+00
4.812724239443282037e-03,0.000000000000000000e+00
7.219060655806800791e-14,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
9.999999999999997780e-01,1.000000000000000000e+00
9.999981808398076266e-01,1.000000000000000000e+00
9.843881839022216029e-01,1.000000000000000000e+00
